Customer_Id,First_Name,Last_Name,Birth_Date,Join_Date,City,State,Street,main_phone_num,secondary_phone_num,fax,monthly_discount,pack_id,gender,martial_status
1,Alvin,Smith,1962-06-27,NULL,New York,New York,5953 Hollister Avenue,567.867.3945,936.228.9436,762.788.3400,$28.00,NULL,Male,widowed
2,Jose,Jones,1968-01-17,NULL,Los Angeles,California,4081 Hollister Avenue,520.336.8373,939.115.6982,711.883.3345,$12.00,NULL,Female,Married
3,Amado,Taylor,1965-08-17,NULL,Chicago,Illinois,"3402 Broderick Street ",522.501.6331,976.113.3737,767.944.7131,NULL,7,Female,Married
4,Stuart,Williams,1983-05-01,NULL,Houston,Texas,5543 Jennings Street,530.339.4737,963.891.4185,756.186.3634,$17.00,23,Female,Single
5,Demarcus,Brown,1971-12-02,NULL,Philadelphia,Pennsylvania,5321 Laguna Street,580.733.2184,NULL,760.663.2046,$11.00,13,Male,Single
6,Mark,Davies,1970-09-01,NULL,Phoenix,Arizona,"5868 Cameron Way ",557.701.1366,919.345.5511,NULL,$18.00,NULL,Female,Married
7,Merlin,Evans,1962-04-13,NULL,San Antonio,Texas,"8177 Brannan Street ",542.753.9215,992.959.8999,NULL,$23.00,1,Male,Single
8,Elroy,Wilson,1963-01-28,NULL,San Diego,California,1873 Key Avenue,544.172.1347,985.345.8501,NULL,$6.00,NULL,Male,widowed
9,Charles,Thomas,1960-05-13,NULL,San Jose,California,9164 Valencia Street,515.656.3047,NULL,799.101.7626,$29.00,37,Female,Divorced
10,Rudolph,Roberts,1973-11-05,NULL,Jacksonville,Florida,"6308 Gilbert Street ",549.569.1762,942.671.2496,729.973.1742,$7.00,7,Female,Married
11,Laurence,Johnson,1975-11-25,NULL,Indianapolis,Indiana,7529 McLaren Avenue,527.138.3311,916.219.9787,NULL,$9.00,NULL,Male,Single
12,Pasquale,Lewis,1969-05-24,NULL,Austin,Texas,"1569 Cleveland Street ",566.849.6722,983.706.4341,NULL,NULL,27,Male,Married
13,Pat,Walker,1985-07-02,NULL,San Francisco,California,"4687 Sloat Boulevard ",582.885.8362,938.219.8802,NULL,NULL,31,Male,Married
14,Harland,Robinson,1974-04-17,NULL,Columbus,Ohio,5390 Montgomery Street,520.519.1795,944.392.2529,721.443.8826,$30.00,31,Male,Married
15,Herschel,Wood,1974-07-24,NULL,Fort Worth,Texas,"7842 Corbett Avenue ",588.826.5279,997.263.1636,779.791.4617,$30.00,41,Female,Divorced
16,Galen,Thompson,1964-12-08,NULL,Charlotte,North Carolina,5466 Farragut Avenue,599.783.7133,NULL,753.251.6433,$16.00,1,Male,Single
17,Brain,White,1978-02-13,NULL,Detroit,Michigan,3728 Ingerson Street,561.654.2679,957.711.4041,794.811.7354,NULL,34,Female,Single
18,Marcel,Watson,1978-10-12,NULL,El Paso,Texas,"9157 Leidesdorff Street ",567.827.2421,937.806.4116,723.277.6166,$28.00,23,Male,widowed
19,Lino,Jackson,1982-06-25,NULL,Memphis,Tennessee,4542 McKinnon Avenue,557.460.8507,984.433.8202,792.908.7024,$6.00,27,Female,Divorced
20,Riley,Wright,1970-02-18,NULL,Boston,Massachusetts,4848 Vallejo Street,541.661.3366,931.368.3046,737.625.7424,$21.00,1,Male,Single
21,Hiram,Green,1987-05-03,2009-03-05,Seattle,Washington,"6152 Funston Avenue ",536.712.4195,958.641.3696,751.639.8145,$19.00,39,Female,widowed
