CustomerID,FirstName,LastName,State,City,PackageID,MonthlyDiscount,JoinDate,MainPhoneNumber,BirthDate
1,Alvin,Smith,New York,New York,,42,29/01/2006,972-515-4847,10/05/1973
2,Jose,Jones,Los Angeles,California,,76,30/01/2006,416-167-6238,16/07/1962
3,Amado,Taylor,Chicago,Illinois,7,72,31/01/2006,842-515-2483,13/07/1993
4,Stuart,Williams,Houston,Texas,23,97,01/02/2006,545-853-5154,06/06/1985
5,Demarcus,Brown,Philadelphia,Pennsylvania,13,23,02/02/2006,376-463-4731,03/03/1979
6,Mark,Davies,Phoenix,Arizona,,27,03/02/2006,235-715-3929,16/02/1989
7,Merlin,Evans,San Antonio,Texas,1,3,04/02/2006,751-285-3371,12/12/1985
8,Elroy,Wilson,San Diego,California,,38,05/02/2006,383-689-4087,20/06/1984
9,Charles,Thomas,San Jose,California,37,53,06/02/2006,515-403-4492,01/02/1976
10,Rudolph,Roberts,Jacksonville,Florida,7,34,07/02/2006,515-989-5670,22/11/1988
11,Laurence,Johnson,Indianapolis,Indiana,,73,08/02/2006,515-841-9233,01/04/1986
12,Pasquale,Lewis,Austin,Texas,27,60,09/02/2006,515-507-4142,24/10/1963
13,Pat,Walker,San Francisco,California,31,87,10/02/2006,515-502-7434,29/03/1963
14,Harland,Robinson,Columbus,Ohio,31,25,11/02/2006,515-681-6919,27/12/1986
15,Herschel,Wood,Fort Worth,Texas,41,33,12/02/2006,515-745-8317,03/11/1990
16,Galen,Thompson,Charlotte,North Carolina,1,73,13/02/2006,515-507-2313,17/12/1965
17,Brain,White,Detroit,Michigan,34,22,14/02/2006,515-012-3109,02/05/1992
18,Marcel,Watson,El Paso,Texas,23,92,15/02/2006,515-745-6357,17/02/1986
19,Lino,Jackson,Memphis,Tennessee,27,53,16/02/2006,515-740-7094,21/09/1989
20,Riley,Wright,Boston,Massachusetts,1,70,17/02/2006,515-977-1242,10/11/1972
21,Hiram,Green,Seattle,Washington,39,58,18/02/2006,972-945-4099,12/09/1980
22,Jeffrey,Harris,Denver,Colorado,42,22,19/02/2006,446-515-3586,19/04/1966
23,Norris,Cooper,Baltimore,Maryland,13,52,20/02/2006,498-415-8779,11/06/1970
24,Carter,King,Washington,District of Columbia,37,4,21/02/2006,623-446-0541,10/09/1962
25,Roscoe,Lee,Nashville,Tennessee,37,73,22/02/2006,528-037-3048,01/12/1970
26,Asa,Martin,Louisville,Kentucky,41,48,23/02/2006,630-493-2935,23/10/1977
27,Bruce,Clarke,Milwaukee,Wisconsin,7,45,24/02/2006,119-206-0706,21/05/1969
28,Burl,James,Portland,Oregon,34,21,25/02/2006,186-062-6672,05/07/1971
